osm_type,osm_id,lat,lon,name,amenity,shop,office,building,landuse,tourism,historic
node,963655685,54.6827269,25.277087,Rugelis,,bakery,,,,,
node,963655693,54.6843201,25.2897449,San Marco vyninė,bar,,,,,,
node,963757883,54.684072,25.2896771,Flying Tomato Pizza,restaurant,,,,,,
node,963757908,54.684206,25.2897009,6 blusos,,antiques,,,,,
node,963757914,54.6842729,25.2893345,Kavinė-ledainė „Soprano“,cafe,,,,,,
node,963757927,54.6839877,25.2896593,Charlie pizza,restaurant,,,,,,
node,963757953,54.684169,25.2893532,Caffeine,cafe,,,,,,
node,963757968,54.6840708,25.2903339,13 statinių,bar,,,,,,
node,963774608,54.6805098,25.2860921,Stikliai,restaurant,,,,,,
node,963774612,54.6799375,25.2863843,Lokys,restaurant,,,,,,
node,963774634,54.679263,25.287105,Amatininkai,pub,,,,,,
node,984412372,54.6939897,25.2758453,Oranžinis baras,restaurant,,,,,,
node,996950716,54.7092523,25.2815087,Lepunėlė,restaurant,,,,,,
node,996950975,54.7091721,25.2813675,Aibė,,convenience,,,,,
node,1000093318,54.7083314,25.2858794,IKI Express Kalvarijų,,supermarket,,,,,
node,1000322636,54.7118657,25.2861984,Pirklenkijoje.lt,,,yes,,,,
node,1000322781,54.7119113,25.2861964,Sushi bars,restaurant,,,,,,
node,1000322942,54.711433,25.2858514,Humana,,charity,,,,,
node,1000822773,54.711987,25.2862056,Maisto prekės,,convenience,,,,,
node,1014096718,54.7137244,25.2788461,Inchcape,,car,,,,,
node,1014096720,54.7137768,25.2800099,Inchcape,,car,,,,,
node,1059236556,54.684168,25.2792478,Gringo,pub,,,,,,
node,1059249511,54.6761987,25.2675943,Fotofoto,,electronics,,,,,
node,1069980646,54.6842547,25.3573468,Joanos Carinovos smuklė,restaurant,,,,,,
node,1069980705,54.6840261,25.3585026,Vila Gloria,restaurant,,,,,,
node,1075469029,54.6708603,25.2820327,Stoties kebabai,fast_food,,,,,,
node,1075469037,54.6706816,25.2818459,Narvesen,,kiosk,,,,,
node,1079118144,54.6736594,25.2547844,Magma,restaurant,,,,,,
node,1081185086,54.7052854,25.31113,Crustum,,bakery,,,,,
node,1082876270,54.7104042,25.2992937,Rovana,,outdoor,,,,,
node,1082876481,54.7105663,25.3024494,Katpėdėlė pirkia,restaurant,,,,,,
node,1082876540,54.7145548,25.3040828,Autoservisas,,car_repair,,,,,
node,1082877324,54.7117747,25.2980605,D.one,,supermarket,,,,,
node,1082877425,54.7133974,25.3040828,Thomas Philipps,,convenience,,,,,
node,1094139757,54.6881464,25.2748806,Vero Cafe,cafe,,,,,,
node,1094722777,54.6414647,25.1759192,Tanagra,,car_parts,,,,,
node,1108388236,54.7400998,25.2292056,Vaga,,books,,,,,
node,1108388246,54.7316666,25.245365,Vaga,,books,,,,,
node,1108388247,54.7402865,25.2295177,Etno Dvaras,restaurant,,,,,,
node,1108388249,54.7315874,25.2458908,Drogas,,cosmetics,,,,,
node,1108388251,54.7402941,25.2275955,Maxima XX,,supermarket,,,,,
node,1108388254,54.7399409,25.2290355,Čili pica,restaurant,,,,,,
node,1122465602,54.7111321,25.2868557,Sigmutė,restaurant,,,,,,
node,1122465818,54.7240891,25.2884772,Opera,restaurant,,,,,,
node,1122465979,54.7125839,25.2870686,Kinų klasika,restaurant,,,,,,
node,1122465990,54.7284275,25.2790695,Šiaudinė užeiga,restaurant,,,,,,
node,1136369251,54.7125082,25.2870621,Vilniaus verslo kolegija,college,,,,,,
node,1177202772,54.7113021,25.2962388,Pomodoro,restaurant,,,,,,
node,1200818928,54.6759502,25.2137799,Ultimate gym,,,,,,,
node,1213253927,54.6963082,25.2818748,Žūklės reikmenys,,fishing,,,,,
node,1213276749,54.6996953,25.2825391,,,hairdresser,,,,,
node,1213276768,54.6995968,25.2830366,Aibė,,convenience,,,,,
node,1219490474,54.6949994,25.2750286,Skybar,bar,,,,,,
node,1219490631,54.694061,25.2757507,Vynoteka,,alcohol,,,,,
node,1219490817,54.6946989,25.274694,Riverside,restaurant,,,,,,
node,1219490879,54.6938763,25.2760162,Seklyčia,restaurant,,,,,,
node,1219490941,54.6942173,25.2760998,Sushi inn,restaurant,,,,,,
node,1219518028,54.6956466,25.2603214,Green Hall,restaurant,,,,,,
node,1240751467,54.6774611,25.3013092,Kava Tau,cafe,,,,,,
node,1243504608,54.7165644,25.2457859,RCL,,radiotechnics,,,,,
node,1243504620,54.7162073,25.2450444,Milva,restaurant,,,,,,
node,1243504704,54.714591,25.2464937,Vis -Arti- Grožio Salonas,,hairdresser,,,,,
node,1243504740,54.7162374,25.2449419,Skalbiu sau,,laundry,,,,,
node,1245982658,54.7069648,25.2241488,Euroflora,,florist,,,,,
node,1248433564,54.6981749,25.2470268,,,florist,,,,,
node,1251505550,54.6462633,25.1439556,Alkana Pantera was Alkanas Kojotas,fast_food,,,,,,
node,1258451979,54.6701472,25.0951621,Eliuzi,,hairdresser,,,,,
node,1258451980,54.6695599,25.0952764,Šarmas,,hairdresser,,,,,
node,1260969347,54.6949864,25.2923503,Kotas,,fishing,,,,,
node,1266422416,54.6949543,25.2920004,UN PO,fast_food,,,,,,
node,1276006242,54.6868452,25.2822729,Paslėpti Receptai,restaurant,,,,,,
node,1276020230,54.6866727,25.2814393,Congress Avenue,,,,,,hotel,
node,1276493435,54.68608,25.278781,Sultiniai,fast_food,,,,,,
node,1276493437,54.6863848,25.2784482,Asia Tasty,restaurant,,,,,,
node,1276493440,54.6851996,25.2783363,IKI Express,,supermarket,,,,,
node,1279205209,54.6320298,25.2359214,Koops,,convenience,,,,,
node,1280818595,54.6757216,25.2891286,Medininkai,restaurant,,,,,,
node,1280818596,54.6759018,25.2887961,Gusto blyninė,restaurant,,,,,,
node,1282082696,54.6783835,25.2851972,Vynoteka,,alcohol,,,,,
node,1283015573,54.6781221,25.287915,Piazzetta Italia,cafe,,,,,,
node,1283015611,54.6782335,25.2879126,Labuki,restaurant,,,,,,
node,1283015612,54.6797395,25.2884304,Švedijos Karalystės ambasada,,,diplomatic,,,,
node,1283022809,54.6834135,25.2894682,Etno dvaras,restaurant,,,,,,
node,1283195523,54.6806666,25.2696385,Borsch,restaurant,,,,,,
node,1286574202,54.7821723,25.2738142,Dviračių salonas,,bicycle,,,,,
node,1313603886,54.6780853,25.2731958,Mėsos Parduotuvė,,butcher,,,,,
node,1315873035,54.6949872,25.28304,Honkongas,restaurant,,,,,,
node,1317043952,54.7102396,25.303069,Trobelė,restaurant,,,,,,
node,1317050314,54.6842519,25.277761,Briusly,restaurant,,,,,,
node,1317755279,54.6860852,25.2753534,Nesė Pramogų banko svečių namai,,,,,,hotel,
node,1317755312,54.686166,25.2750226,Tiflisi,restaurant,,,,,,
node,1323899883,54.6986362,25.268518,9 drakonai,restaurant,,,,,,
node,1333738590,54.735404,25.2207725,Maxima,,supermarket,,,,,
node,1341152768,54.6818529,25.2863416,Akademinė knyga,,books,,,,,
node,1341152777,54.6821004,25.2861872,Fiorentino,restaurant,,,,,,
node,1342254319,54.6828476,25.2814917,La Bohème,cafe,,,,,,
node,1349021673,54.6744053,25.2697957,Montuotojas,restaurant,,,,,,
node,1359806538,54.7188739,25.2418186,Maisto prekės,,convenience,,,,,
node,1359812049,54.7182914,25.2414967,Kirpykla,,hairdresser,,,,,
node,1359815449,54.7158242,25.2421927,Vizija,,hairdresser,,,,,
node,1359847827,54.6628591,25.2392222,Moki Veži,,doityourself,,,,,
node,1363071443,54.7101869,25.1873419,Iki,,supermarket,,,,,
node,1363077513,54.6655726,25.1634435,KG Knutsson,,car_repair,,,,,
node,1363077534,54.7030348,25.2111113,Autoprizmė,,car_repair,,,,,
node,1363085360,54.6657247,25.1654498,,,car_repair,,,,,
node,1367680610,54.6968164,25.2826344,Tercija,,electronics,,,,,
node,1370753996,54.7286034,25.2453655,Vis-A-Vis,cafe,,,,,,
node,1370807291,54.7084023,25.1734192,,parking,,,,,,
node,1371470835,54.7041654,25.282022,Kebabai,fast_food,,,,,,
node,1379352640,54.6873349,25.2799552,Vilniečio kortelė,,kiosk,,,,,
node,1390181602,54.6862134,25.2860161,Airijos Respublikos ambasada,,,diplomatic,,,,
node,1390181604,54.68084,25.2852923,Bistro 18,restaurant,,,,,,
node,1390181609,54.6803857,25.2858123,Ponių laimė,cafe,,,,,,
node,1390181611,54.6804689,25.2860249,Stiklių aludė,restaurant,,,,,,
node,1395292171,54.693099,25.2676345,Dienos pietų restoranas,restaurant,,,,,,
node,1398368016,54.7240144,25.2329859,Gerduva,,convenience,,,,,
node,1398368048,54.724256,25.233002,Feirano oazė,,hairdresser,,,,,
