lat_round,lon_round,jam_weight,event_count,total_duration,avg_duration,location_name,lat,lon,jam_score
54.66019,25.23378,70.0,1,70.0,70.0,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą),54.66019015050598,25.233781198936814,0.0005538960653597358
54.66035,25.16356,940.0,9,940.0,104.44444444444444,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos ,54.660354794385746,25.16356336158933,0.00743803287768788
54.66051,25.23399,20.0,1,20.0,20.0,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą) ,54.66050664655955,25.233985047564904,0.0001582560186742102
54.66092,25.23425,6150.0,38,2460.0,64.73684210526316,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą),54.66091624474922,25.23425394318955,0.048663725742319634
54.66094,25.23415,70.0,2,70.0,35.0,Savanorių pr. link Savanorių - Riovonių g. sankryžos (į centrą),54.660936977132316,25.234154073846152,0.0005538960653597358
54.66094,25.23427,430.0,13,535.0,41.15384615384615,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos ,54.66093777174707,25.23426993804198,0.0034025044014955193
54.66102,25.16624,512.5,2,205.0,102.5,Gariūnų g. ties Paneriškių g.,54.66101880999126,25.166240205903463,0.004055310478526636
54.66107,25.2343,33687.5,187,13475.0,72.05882352941177,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą),54.66106738920349,25.234295892196684,0.26656248145437283
54.66118,25.23438,420.0,11,600.0,54.54545454545455,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą) ,54.66117680919609,25.234375820413714,0.003323376392158414
54.66129,25.23443,21080.0,136,8465.0,62.24264705882353,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą),54.66128709178241,25.234433790925475,0.16680184368261755
54.66155,25.16756,567.0,10,810.0,81.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (į centrą),54.66154593037033,25.167564994509267,0.00448655812941386
54.66182,25.16867,23325.0,100,9330.0,93.3,Gariūnų g. link Oslo g. ,54.661822331194244,25.16867372920228,0.18456608177879766
54.66185,25.23463,5187.5,28,2075.0,74.10714285714286,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66184854750947,25.23463126970992,0.04104765484362327
54.66186,25.2348,283.5,6,405.0,67.5,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (į centrą),54.66185564793238,25.234800468729375,0.00224327906470693
54.66199,25.23471,8036.0,213,11480.0,53.89671361502347,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.661994795715415,25.234708017474546,0.06358726830329765
54.66203,25.34526,9093.0,326,12990.0,39.84662576687116,Juodasis kelias link Juodojo kelio–Tolimosios g. sankryžos (link centro),54.66202657637224,25.3452574193598,0.07195109889022967
54.66207,25.34501,6942.9,278,9867.0,35.492805755395686,Juodasis kelias link Juodojo kelio–Tolimosios g. sankryžos (link centro),54.66206500373269,25.34500850969678,0.0549377856026587
54.66213,25.16955,1438.0,19,1540.0,81.05263157894737,Gariūnų g. link Oslo g. (į centrą),54.66212701074397,25.169546925318407,0.011378607742675713
54.66214,25.27348,70.0,1,70.0,70.0,Dariaus ir Girėno g. link Pelesos–Prūsų–Dariaus ir Girėno g. sankryžos,54.66213552076915,25.273478117470724,0.0005538960653597358
54.66245,25.23503,3563.0,96,5090.0,53.020833333333336,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66244528506393,25.235030579488413,0.02819330972681055
54.66247,25.23506,4875.0,18,1950.0,108.33333333333333,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66247384828718,25.235058606725634,0.038574904551838735
54.66261,25.16984,70.0,1,70.0,70.0,Gariūnų g. link Gariūnų-Paneriškių g. sankryžos,54.66260983420137,25.169843747013136,0.0005538960653597358
54.66267,25.17058,25.0,1,25.0,25.0,Gariūnų g. link Oslo g.,54.662673177451616,25.17058476311373,0.00019782002334276275
54.66268,25.1707,100.0,2,100.0,50.0,Gariūnų g. link Oslo g. (į centrą),54.662681367417655,25.170700869141847,0.000791280093371051
54.66269,25.17021,75.0,1,75.0,75.0,Griūnų g. link Gariūnų-Paneriįkių g. sankryžos,54.662690899282914,25.17020527351719,0.0005934600700282883
54.6627,25.2352,84.0,3,120.0,40.0,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66270345067259,25.235198081279435,0.0006646752784316829
54.66289,25.23525,2255.0,29,2255.0,77.75862068965517,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.6628922389579,25.235250791746655,0.017843366105517202
54.66296,25.23537,185.5,6,265.0,44.166666666666664,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66295787237929,25.23536974216086,0.0014678245732032997
54.6631,25.23541,2480.0,18,2480.0,137.77777777777777,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.663102947753416,25.235408837856735,0.019623746315602066
54.66316,25.17112,960.0,7,960.0,137.14285714285714,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.663159034530494,25.171123577713317,0.00759628889636209
54.66317,25.17107,8730.0,71,8730.0,122.95774647887323,Gariūnų g. link Gariūnų-Paneriškių g. sankryžos,54.6631663228069,25.17106595295782,0.06907875215129275
54.6632,25.17105,85.0,1,85.0,85.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.66320088679895,25.17104584100452,0.0006725880793653934
54.66322,25.23569,265.0,5,265.0,53.0,Savanorių pr. link Savanorių pr. — Vilkpėdės g. sankryžos (į centrą),54.66321842160248,25.235692636372235,0.002096892247433285
54.66323,25.23552,850.0,10,850.0,85.0,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66323090934222,25.23551994610979,0.006725880793653933
