cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction
62,54.6964163,25.38141968,5,0.0058428149662155,0,0,0,0,0,3,2,Naujoji Vilnia,14.0,67.35082614433006,11527.119467888,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,5,855.7518985131568,1859.8746385301035,0.0,0.0,0.0,10681.625124014749,0.3032386925037929,0,0.2211524952867043,0
26,54.65255866,25.18718615,10,0.0118542310783576,0,1,0,0,0,8,1,Vilkpėdė,18.0,74.43213051648205,6278.950530361569,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,10,843.5806535151074,1274.0431637680229,0.1493562033409003,0.0,25.30741960545322,10462.016287458548,0.2970042576040076,0,0.23550388747418555,0
95,54.69740062222222,25.222130255555555,18,0.0219616321048527,0,1,0,0,10,4,2,Karoliniškės,10.0,113.79256431518898,5181.425668725462,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,17,819.6112162366417,654.6196340855689,0.7820832909565322,263.3937244348911,24.780539194978353,10030.047170378388,0.2847411657294472,0,0.34638342779620696,1
101,54.70204658666667,25.211001473333333,15,0.0172316811089807,0,3,0,0,3,5,4,Viršuliškės,9.0,83.74964860613096,4860.213468231073,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,15,870.4896466649672,188.29722243790013,0.5859368166774844,84.61603220160384,68.84972042240679,10004.70922789514,0.28402185153707,-1,0.475997087142713,1
175,54.69895691666667,25.216124883333332,6,0.0086221486984098,0,0,0,0,0,4,2,Karoliniškės,10.0,104.89507187480262,12165.769293001016,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,6,695.8822226188922,390.6056755856955,0.7531652807525179,104.53618756380772,38.67622678032163,9414.825953019015,0.2672757636593801,-1,0.3376553693410002,1
200,54.7143274,25.23152776666667,3,0.005,0,0,0,0,0,3,0,Šeškinė,5.0,99.09340457255186,19818.680914510373,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,3,600.0,194.0968744885686,0.6532419698459415,167.97140814004592,28.845683561936852,9336.90021981105,0.2650635443410615,-1,0.3340503283672029,1
193,54.66154373333333,25.265094416666667,6,0.0079649325894404,0,0,0,0,0,6,0,Naujininkai,19.0,58.36187145570994,7327.352843272503,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,6,753.3020440065706,502.16089439301294,0.0,119.05977746388132,21.266743429697488,9239.612767971252,0.2623016687509323,0,0.15312034905858968,0
64,54.685941279999994,25.32390078,5,0.0061203651632315,3,1,0,0,0,1,0,Rasos,15.0,81.58403614122597,13329.92950017876,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,5,816.9447192526733,1710.9871812860606,1.0,0.0,163.38894385053464,9064.937995879847,0.2573428587489496,0,0.17944908255992983,0
108,54.71168235555555,25.255606333333333,9,0.0117925891214943,0,1,0,0,4,4,0,Šeškinė,5.0,110.82866760779692,9398.16239385378,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,9,763.1911794158706,606.3061791057796,0.7189901509724217,261.6091426785663,53.67874015419997,8986.629790903982,0.2551197815099053,0,0.34577293920080093,1
161,54.70477845714286,25.235476014285716,7,0.0089741101085098,3,0,1,0,1,2,0,Viršuliškės,9.0,77.24399083326371,8607.426240515617,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,7,780.0216305973527,332.3868512272426,0.6522429464089595,40.51303712601138,74.41383868167803,8107.557183821158,0.2301639508293857,-1,0.36713825357513713,1
156,54.6475684625,25.21200085,8,0.011756708991935,0,1,0,0,4,2,1,Vilkpėdė,18.0,62.70212134966826,5333.305552827867,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,8,680.4625346674762,862.6580613365849,0.1493562033409003,114.40006705532426,32.56345182443197,7923.145043296339,0.2249287084645466,0,0.20612478157361652,0
195,54.7053594,25.22009595,4,0.0070417298672449,2,0,0,0,0,2,0,Viršuliškės,9.0,62.000312052817335,8804.699018804475,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,4,568.0422389683365,281.67887859739204,0.5855109381103325,40.0676255974826,25.84175094674395,7784.0160005886,0.2209789996412002,-1,0.35766549547647847,1
