cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure
171,54.67697924,25.30865934,5,0.005,0,1,0,0,1,3,0,Senamiestis,16.0,101.92822624747512,20385.645249495024,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,5,1000.0,787.4486920243345,0.8997057606822666,273.8195597494537,109.60953204850031
173,54.66702716,25.28462688,5,0.0118478072080386,0,1,0,0,2,2,0,Naujininkai,19.0,34.5389330655822,2915.2173443663005,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,422.01902109004254,776.7452709507688,0.29436146289621723,195.57564927133748,49.071777407023546
185,54.720263339999995,25.31637574,5,0.0054462641210408,0,0,0,0,1,3,0,Antakalnis,13.0,69.1406615411715,12695.062157205566,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,4,918.0605069598575,461.69765443862366,0.0,103.79848078652465,14.989184728902522
198,54.71324812,25.21225898,5,0.0052205692355496,2,0,0,0,0,3,0,Justiniškės,8.0,122.62688162784805,23489.17830508159,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,5,957.7499644966629,374.77186790545073,0.23345643012391837,29.645044560845978,44.04626486865272
191,54.70569664,25.24206174,5,0.005,0,0,0,0,0,5,0,Šeškinė,5.0,127.85785882124459,25571.571764248918,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,744.9555117972601,0.7103741574659594,57.183183853056626,72.99864358128808
32,54.71239426,25.41446018,5,0.0050786781832695,0,2,0,0,2,1,0,Naujoji Vilnia,14.0,76.60983351997342,15084.600905083204,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,5,984.5081376629284,2218.0644583881162,0.0,393.80325506517136,393.80325506517136
168,54.7001759,25.244298980000003,5,0.005,0,1,0,0,2,1,1,Žvėrynas,6.0,116.11054405983123,23222.108811966245,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,5,1000.0,258.28601090866863,0.837855964723065,129.6015558215387,66.14499572578477
58,54.74904136,25.20675586,5,0.0109636602145573,0,0,0,0,3,2,0,Pašilaičiai,7.0,71.57966783548976,6528.8112213152945,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,5,456.05207587162477,1327.607489988844,0.4425137670544916,273.63124552297484,0.0
77,54.724232140000005,25.24968044,5,0.005,0,2,0,0,2,0,1,Fabijoniškės,4.0,115.8842926884991,23176.85853769982,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,5,1000.0,323.2409476593728,0.3644743299996092,176.13452728761982,146.0355936560372
66,54.707815800000006,25.33641644,5,0.0254631088625344,3,0,0,0,0,2,0,Antakalnis,13.0,17.24253909239405,677.1576552368343,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,196.36251123117333,1406.4843508997928,0.0,0.0,0.0
65,54.710693979999995,25.39479114,5,0.0165583006193084,0,0,0,0,0,5,0,Antakalnis,13.0,24.836415655224457,1499.9374770538386,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,301.96335451052084,2222.2753628903533,0.0,0.0,0.0
64,54.685941279999994,25.32390078,5,0.0061203651632315,3,1,0,0,0,1,0,Rasos,15.0,81.58403614122597,13329.92950017876,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,5,816.9447192526733,1710.9871812860606,1.0,0.0,163.38894385053464
112,54.64241938,25.27360402,5,0.0051005346178518,0,1,0,0,0,4,0,Naujininkai,19.0,74.68478971199143,14642.541479984411,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,980.2893960370486,96.05597700609839,0.0,15.810079810280635,73.1767156143893
63,54.714959799999995,25.13818078,5,0.005,0,1,0,0,3,1,0,Pilaitė,12.0,81.90590935183268,16381.181870366536,21798.0,0.3030134418836208,0.593024277388936,0.1039622807274431,13.933524246549881,1564.4283251164875,0.0201049035317864,5,1000.0,2007.6396822746779,0.0201049035317864,600.0,200.0
118,54.681869840000005,25.25063284,5,0.005,0,2,0,0,1,2,0,Naujamiestis,17.0,111.6718214138832,22334.364282776638,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,5,1000.0,38.334149929163935,0.7470964667250806,409.37437603687704,139.97181847389967
62,54.6964163,25.38141968,5,0.0058428149662155,0,0,0,0,0,3,2,Naujoji Vilnia,14.0,67.35082614433006,11527.119467888,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,5,855.7518985131568,1859.8746385301035,0.0,0.0,0.0
61,54.68111268,25.421616,5,0.0328342356929901,0,0,0,0,0,5,0,Naujoji Vilnia,14.0,16.763368713791735,510.54542187411437,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,5,152.28007884061904,1494.6290033415357,0.0,0.0,0.0
60,54.7324709,25.29799474,5,0.0139956048160962,0,1,1,0,0,3,0,Antakalnis,13.0,28.812501707716322,2058.6821424522764,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,357.2550143920577,674.9541943612707,0.0,0.0,71.45100287841154
167,54.64708068,25.27671474,5,0.005,0,0,1,0,0,4,0,Naujininkai,19.0,76.10220162675746,15220.440325351492,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,1000.0,35.20458406643002,0.0,35.9926674420494,36.878376131777586
59,54.62686888,25.24666726,5,0.0177546725065811,0,1,0,0,1,2,1,Naujininkai,19.0,24.442392971230355,1376.6738283778723,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,281.6160083012884,2488.7465835849775,0.0,56.32320166025768,56.32320166025768
55,54.75670230000001,25.36784948,5,0.005,1,0,0,0,1,3,0,Antakalnis,13.0,75.03302353795712,15006.604707591423,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,1000.0,3007.311934065978,0.0,200.0,0.0
54,54.64337862,25.1827183,5,0.0192225464653451,0,0,0,0,0,2,3,Paneriai,20.0,20.452752321866686,1063.9980690768225,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,5,260.11121934412427,1122.4556164824762,0.0581114355229927,0.0,0.0
134,54.65910718,25.27861076,5,0.005,0,2,0,0,0,3,0,Naujininkai,19.0,76.10220162675746,15220.440325351492,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,1000.0,467.2421747905107,0.0,74.26669325662115,133.5959569085277
48,54.723862,25.19004876,5,0.0233034636043515,1,0,0,0,1,2,1,Justiniškės,8.0,69.18327460511458,2968.797934063152,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,5,214.56037973112035,1593.4990218189273,0.23345643012391837,18.87128393423615,5.997661150368929
45,54.73666262,25.080256839999997,5,0.0096987039154966,1,0,0,0,3,1,0,Grigiškės,21.0,46.28161896576692,4771.938536222154,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,5,515.5328014510263,6341.7210456759885,0.0,309.3196808706158,0.0
44,54.67770264000001,25.384596,5,0.005,0,0,1,0,2,1,0,Naujoji Vilnia,14.0,77.72387093352778,15544.774186705556,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,4,1000.0,2312.1545325343072,0.0,400.0,0.0
28,54.68300064,25.23549062,5,0.0087895669652643,0,4,0,0,0,1,0,Vilkpėdė,18.0,54.67638583415139,6220.600633709068,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,5,568.8562382833671,854.4843579900784,0.1493562033409003,0.0,455.08499062669364
157,54.6778649,25.31700012,5,0.0078432306198569,0,0,0,0,5,0,0,Rasos,15.0,68.67941688425785,8756.521414833893,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,5,637.4924112700928,1231.6821344370721,0.9108568108799258,334.26422467573764,100.20520546879268
162,54.72827388,25.322309,5,0.005,0,0,0,0,0,2,3,Antakalnis,13.0,75.03302353795712,15006.604707591423,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,1000.0,458.37424880767026,0.0,28.77745181632831,30.50579825059792
23,54.64846492,25.12223346,5,0.0121312909635635,0,1,0,0,0,4,0,Paneriai,20.0,31.38655788364943,2587.2397239435927,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,5,412.15728936166556,1341.5433804151608,0.0581114355229927,0.0,82.43145787233311
22,54.77991156,25.35990416,5,0.005,1,1,0,0,0,3,0,Verkiai,1.0,77.4975818088944,15499.516361778878,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,5,1000.0,1542.0775325446089,0.0,0.0,200.0
201,54.723789120000006,25.32692428,5,0.013231931142955,1,1,0,0,0,3,0,Antakalnis,13.0,30.295221439812696,2289.5540426041744,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,377.87379226668065,232.2903716503957,0.0,25.800454312766846,60.89496183998778
195,54.7053594,25.22009595,4,0.0070417298672449,2,0,0,0,0,2,0,Viršuliškės,9.0,62.000312052817335,8804.699018804475,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,4,568.0422389683365,281.67887859739204,0.5855109381103325,40.0676255974826,25.84175094674395
130,54.64381336666667,25.2678421,3,0.005,0,0,0,0,0,1,2,Naujininkai,19.0,47.33774737806474,9467.549475612948,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,3,600.0,342.3580797019652,0.0,17.738341431204763,45.38197884738731
199,54.63086403333333,25.2567008,3,0.0052322649469623,0,0,0,0,2,1,0,Naujininkai,19.0,45.42242738523328,8681.216996017034,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,3,573.3654603522539,1777.074708244803,0.0,129.74676939447932,1.9773792925785896
200,54.7143274,25.23152776666667,3,0.005,0,0,0,0,0,3,0,Šeškinė,5.0,99.09340457255186,19818.680914510373,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,3,600.0,194.0968744885686,0.6532419698459415,167.97140814004592,28.845683561936852
