cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
143,54.707096868181814,25.270063559090907,22,0.09843510352245667,2,1,2,0,0,6,9,2,223.49750457651513
25,54.64360419090909,25.053716713636366,22,0.25644548616414087,1,0,1,0,0,7,10,3,85.78821303923692
103,54.70507933636363,25.22997981818182,22,0.08073948740203633,1,1,0,0,1,3,15,1,272.48129394793676
153,54.729681428571425,25.263728133333334,21,0.11635204343081096,5,0,0,0,0,1,14,1,180.4867313094308
145,54.718136314285715,25.214251985714284,21,0.06793570598565894,1,0,5,0,0,6,9,0,309.1157984644047
159,54.681333333333335,25.311721961904762,21,0.03359079187559485,0,1,3,1,0,7,9,0,625.1713290289355
142,54.673557200000005,25.22329156,20,0.07126791144116541,0,0,3,0,0,1,13,3,280.6312068862972
81,54.674152955,25.21281133,20,0.061656865770830814,2,1,2,0,0,9,6,0,324.3758785004894
3,54.675342130000004,25.080780060000002,20,0.0764981692549072,1,0,1,0,0,8,7,3,261.44416519767947
76,54.71634034210526,25.229218089473683,19,0.028654432384414973,0,3,1,0,0,7,7,1,663.0736824622644
41,54.60506162631579,25.25977925263158,19,0.14411987513337007,2,0,3,0,0,9,3,2,131.83469651508648
20,54.60663612105264,25.386721868421052,19,0.3034859779806676,1,1,1,0,1,5,9,1,62.60585786012928
114,54.66733123157895,25.215271110526317,19,0.03216560427473458,1,0,4,0,0,9,5,0,590.6930843803269
119,54.690937705555555,25.256256838888888,18,0.04705409238785426,2,2,5,0,2,6,0,1,382.538459176533
37,54.64447637777778,25.33328138888889,18,0.2523989897738383,0,0,1,1,0,3,10,3,71.3156578642762
123,54.64038535555555,25.267749344444447,18,0.05453708132972664,0,0,3,0,0,0,11,4,330.0506657327975
95,54.69740062222222,25.222130255555555,18,0.021961632104852715,0,1,1,0,0,10,4,2,819.6112162366412
51,54.63722887222222,25.355673272222223,18,0.08199231010576588,2,0,1,0,2,7,5,1,219.53278273024534
107,54.65216983529412,25.224561558823527,17,0.06797392862756155,0,0,2,0,0,9,5,1,250.09588739743623
78,54.72312597647059,25.254832588235296,17,0.043534679553070464,1,0,2,0,0,4,9,1,390.4932843085784
102,54.7295351,25.228659088235293,17,0.05680008296178113,2,0,2,0,0,5,8,0,299.2953374986922
166,54.70334338235294,25.20647717647059,17,0.054989832664041456,0,1,3,0,0,8,5,0,309.1480584031039
87,54.733883176470584,25.253137188235293,17,0.06567694188365861,0,0,3,0,0,5,8,1,258.8427462124245
172,54.74056431875,25.23929055625,16,0.05931066390187245,0,0,0,0,0,0,16,0,269.7659905893395
163,54.71018725625,25.247409275,16,0.06676551098866967,2,0,0,0,0,2,11,1,239.6446872505065
150,54.7348938875,25.338563675,16,0.019548062067950383,2,1,3,0,0,4,6,0,818.4954572163174
